Region,Resource,Zone,Cluster,AnnualSum
NENGREST,NENGREST_biomass_1,1,1,2.5638185612574735e9
NENGREST,NENGREST_conventional_hydroelectric_1,1,1,0.0
NENGREST,NENGREST_hydroelectric_pumped_storage_1,1,1,0.0
NENGREST,NaturalGas_CCAvgCF_Moderate,1,1,4.23523990943372e7
NENGREST,NaturalGas_CTAvgCF_Moderate,1,1,1.0965595714722408e8
NENGREST,NaturalGas_CCCCSAvgCF_Moderate,1,1,6.254641354943771e8
NENGREST,NaturalGas_CCS100_Moderate,1,1,1.2481038957834287e9
NENGREST,NENGREST_nuclear_1,1,1,0.0
NENGREST,OffShoreWind_Class3_Moderate_fixed_1,1,1,0.0
NENGREST,LandbasedWind_Class3_Moderate_130,1,1,1.1888236772752804e8
NENGREST,UtilityPV_Class1_Moderate_100_0.2,1,1,1.1316199035699477e9
NENGREST,Liion_Moderate,1,1,1.0096258339371305e9
NENGREST,TEGS,1,1,7.23822393567786e6
