Zone,1,Total
CO2_Price_1,-364.08766389019047,0.0
AnnualSum,1611.371122012936,1611.371122012936
t1,0.0,0.0
t2,0.0,0.0
t3,0.0,0.0
t4,0.0,0.0
t5,0.0,0.0
t6,0.0,0.0
t7,0.0,0.0
t8,0.0,0.0
t9,0.0,0.0
t10,0.0,0.0
t11,0.0,0.0
t12,0.0,0.0
t13,0.0,0.0
t14,0.0,0.0
t15,0.0,0.0
t16,0.0,0.0
t17,0.0,0.0
t18,0.0,0.0
t19,0.0,0.0
t20,0.0,0.0
t21,0.0,0.0
t22,0.0,0.0
t23,0.0,0.0
t24,0.0,0.0
t25,0.0,0.0
t26,0.0,0.0
t27,0.0,0.0
t28,0.0,0.0
t29,0.0,0.0
t30,0.0,0.0
t31,0.0,0.0
t32,0.0,0.0
t33,0.0,0.0
t34,0.0,0.0
t35,0.0,0.0
t36,0.0,0.0
t37,0.0,0.0
t38,0.0,0.0
t39,0.0,0.0
t40,0.0,0.0
t41,0.0,0.0
t42,0.0,0.0
t43,0.0,0.0
t44,0.21856737082668184,0.21856737082668184
t45,0.34151151691669035,0.34151151691669035
t46,0.34151151691669035,0.34151151691669035
t47,0.34151151691669035,0.34151151691669035
t48,0.34151151691669035,0.34151151691669035
t49,0.34151151691669035,0.34151151691669035
t50,0.34151151691669035,0.34151151691669035
t51,0.34151151691669035,0.34151151691669035
t52,0.34151151691669035,0.34151151691669035
t53,0.34151151691669035,0.34151151691669035
t54,0.34151151691669035,0.34151151691669035
t55,0.34151151691669035,0.34151151691669035
t56,0.34151151691669035,0.34151151691669035
t57,0.34151151691669035,0.34151151691669035
t58,0.21856737082668184,0.21856737082668184
t59,0.0,0.0
t60,0.0,0.0
t61,0.0,0.0
t62,0.0,0.0
t63,0.0,0.0
t64,0.0,0.0
t65,0.0,0.0
t66,0.0,0.0
t67,0.0,0.0
t68,0.018175284131666386,0.018175284131666386
t69,0.028398881455728733,0.028398881455728733
t70,0.028398881455728733,0.028398881455728733
t71,0.028398881455728733,0.028398881455728733
t72,0.028398881455728733,0.028398881455728733
t73,0.028398881455728733,0.028398881455728733
t74,0.028398881455728733,0.028398881455728733
t75,0.028398881455728733,0.028398881455728733
t76,0.016719677089309375,0.016719677089309375
t77,0.028398881455728733,0.028398881455728733
t78,0.028398881455728733,0.028398881455728733
t79,0.028398881455728733,0.028398881455728733
t80,0.028398881455728733,0.028398881455728733
t81,0.028398881455728733,0.028398881455728733
t82,0.018175284131666386,0.018175284131666386
t83,0.0,0.0
t84,0.0,0.0
t85,0.0,0.0
t86,0.0,0.0
t87,0.0,0.0
t88,0.0,0.0
t89,0.0,0.0
t90,0.0,0.0
t91,0.0,0.0
t92,0.043750372108900655,0.043750372108900655
t93,0.06835995642015727,0.06835995642015727
t94,0.06835995642015727,0.06835995642015727
t95,0.06835995642015727,0.06835995642015727
t96,0.06835995642015727,0.06835995642015727
t97,0.06835995642015727,0.06835995642015727
t98,0.06835995642015727,0.06835995642015727
t99,0.06835995642015727,0.06835995642015727
t100,0.06835995642015727,0.06835995642015727
t101,0.06835995642015727,0.06835995642015727
t102,0.06835995642015727,0.06835995642015727
t103,0.06835995642015727,0.06835995642015727
t104,0.06835995642015727,0.06835995642015727
t105,0.06835995642015727,0.06835995642015727
t106,0.043750372108900655,0.043750372108900655
t107,0.0,0.0
t108,0.0,0.0
t109,0.0,0.0
t110,0.0,0.0
t111,0.0,0.0
t112,0.0,0.0
t113,0.0,0.0
t114,0.0,0.0
t115,0.0,0.0
t116,0.0,0.0
t117,0.0,0.0
t118,0.0,0.0
t119,0.0,0.0
t120,0.0,0.0
t121,0.0,0.0
t122,0.0,0.0
t123,0.0,0.0
t124,0.0,0.0
t125,0.0,0.0
t126,0.0,0.0
t127,0.0,0.0
t128,0.0,0.0
t129,0.0,0.0
t130,0.0,0.0
t131,0.0,0.0
t132,0.0,0.0
t133,0.0,0.0
t134,0.0,0.0
t135,0.0,0.0
t136,0.0,0.0
t137,0.0,0.0
t138,0.0,0.0
t139,0.0,0.0
t140,0.0,0.0
t141,0.0,0.0
t142,0.0,0.0
t143,0.0,0.0
t144,0.0,0.0
t145,0.0,0.0
t146,0.0,0.0
t147,0.0,0.0
t148,0.0,0.0
t149,0.0,0.0
t150,0.0,0.0
t151,0.0,0.0
t152,0.0,0.0
t153,0.0,0.0
t154,0.0,0.0
t155,0.0,0.0
t156,0.0,0.0
t157,0.0,0.0
t158,0.0,0.0
t159,0.0,0.0
t160,0.0,0.0
t161,0.0,0.0
t162,0.0,0.0
t163,0.0,0.0
t164,0.0,0.0
t165,0.0,0.0
t166,0.0,0.0
t167,0.0,0.0
t168,0.0,0.0
t169,0.0,0.0
t170,0.0,0.0
t171,0.0,0.0
t172,0.0,0.0
t173,0.0,0.0
t174,0.0,0.0
t175,0.0,0.0
t176,0.0,0.0
t177,0.0,0.0
t178,0.0,0.0
t179,0.0,0.0
t180,0.0,0.0
t181,0.0,0.0
t182,0.0,0.0
t183,0.0,0.0
t184,0.0,0.0
t185,0.0,0.0
t186,0.0,0.0
t187,0.0,0.0
t188,0.0,0.0
t189,0.0,0.0
t190,0.0,0.0
t191,0.0,0.0
t192,0.0,0.0
t193,0.0,0.0
t194,0.0,0.0
t195,0.0,0.0
t196,0.0,0.0
t197,0.0,0.0
t198,0.0,0.0
t199,0.0,0.0
t200,0.0,0.0
t201,0.0,0.0
t202,0.0,0.0
t203,0.0,0.0
t204,0.0,0.0
t205,0.0,0.0
t206,0.0,0.0
t207,0.0,0.0
t208,0.0,0.0
t209,0.0,0.0
t210,0.0,0.0
t211,0.0,0.0
t212,0.0,0.0
t213,0.0,0.0
t214,0.0,0.0
t215,0.0,0.0
t216,0.0,0.0
t217,0.0,0.0
t218,0.0,0.0
t219,0.0,0.0
t220,0.0,0.0
t221,0.0,0.0
t222,0.0,0.0
t223,0.0,0.0
t224,0.0,0.0
t225,0.0,0.0
t226,0.0,0.0
t227,0.0,0.0
t228,0.0,0.0
t229,0.0,0.0
t230,0.0,0.0
t231,0.0,0.0
t232,0.0,0.0
t233,0.0,0.0
t234,0.0,0.0
t235,0.0,0.0
t236,0.10608404865301314,0.10608404865301314
t237,0.165756326020333,0.165756326020333
t238,0.165756326020333,0.165756326020333
t239,0.165756326020333,0.165756326020333
t240,0.165756326020333,0.165756326020333
t241,0.165756326020333,0.165756326020333
t242,0.165756326020333,0.165756326020333
t243,0.165756326020333,0.165756326020333
t244,0.13210112197385526,0.13210112197385526
t245,0.14910142232334264,0.14910142232334264
t246,0.165756326020333,0.165756326020333
t247,0.165756326020333,0.165756326020333
t248,0.165756326020333,0.165756326020333
