Time_Index,res_hydro_1,natural_gas_ccs_2,solar_pv_2,onshore_wind_2,battery_2,fixed_offshore_wind_2,natural_gas_2,nuclear_2,ror_hydro_2,pumped_hydro_2,fusion_2,float_offshore_wind_2,comm_solar_pv_2,res_solar_pv_2
1,0.262,1,0.0,0.620514556,1,0.81,1,1,0.552743642,1,1,0.81,0.0,0.0
2,0.262,1,0.0,0.62484006,1,0.81,1,1,0.552743642,1,1,0.81,0.0,0.0
3,0.262,1,0.0,0.630754699,1,0.81,1,1,0.552743642,1,1,0.81,0.0,0.0
4,0.262,1,0.0,0.479786642,1,0.81,1,1,0.552743642,1,1,0.81,0.0,0.0
5,0.262,1,0.0,0.621749933,1,0.81,1,1,0.552743642,1,1,0.81,0.0,0.0
6,0.262,1,0.0,0.548654032,1,0.81,1,1,0.552743642,1,1,0.81,0.0,0.0
7,0.262,1,0.0,0.522773192,1,0.81,1,1,0.552743642,1,1,0.81,0.0,0.0
8,0.262,1,0.080881889,0.49956343,1,0.81,1,1,0.552743642,1,1,0.81,0.0473736778428571,0.0430407195035714
9,0.262,1,0.328304078,0.522867881,1,0.81,1,1,0.552743642,1,1,0.81,0.1922923885428571,0.1747046700785713
10,0.262,1,0.565188408,0.622342541,1,0.81,1,1,0.552743642,1,1,0.81,0.3310389246857143,0.3007609742571428
11,0.262,1,0.786697092,0.593359391,1,0.806872212,1,1,0.552743642,1,1,0.806872212,0.4607797253142857,0.4186352382428571
12,0.262,1,0.8256,0.561638941,1,0.770060444,1,1,0.552743642,1,1,0.770060444,0.4835657142857142,0.4393371428571427
13,0.262,1,0.8256,0.450828746,1,0.715480144,1,1,0.552743642,1,1,0.715480144,0.4835657142857142,0.4393371428571427
14,0.262,1,0.8256,0.442571576,1,0.617753239,1,1,0.552743642,1,1,0.617753239,0.4835657142857142,0.4393371428571427
15,0.262,1,0.606922123,0.466014273,1,0.555006716,1,1,0.552743642,1,1,0.555006716,0.3554829577571428,0.3229692725964285
16,0.262,1,0.305358706,0.37833793,1,0.418783608,1,1,0.552743642,1,1,0.418783608,0.1788529563714285,0.1624944542642856
17,0.262,1,0.0,0.315842556,1,0.419414866,1,1,0.552743642,1,1,0.419414866,0.0,0.0
18,0.262,1,0.0,0.227276172,1,0.314523212,1,1,0.552743642,1,1,0.314523212,0.0,0.0
19,0.262,1,0.0,0.298994295,1,0.411374904,1,1,0.552743642,1,1,0.411374904,0.0,0.0
20,0.262,1,0.0,0.271312928,1,0.448926611,1,1,0.552743642,1,1,0.448926611,0.0,0.0
21,0.262,1,0.0,0.28973821,1,0.473579605,1,1,0.552743642,1,1,0.473579605,0.0,0.0
22,0.262,1,0.0,0.342978201,1,0.435611898,1,1,0.552743642,1,1,0.435611898,0.0,0.0
23,0.262,1,0.0,0.339627982,1,0.480484031,1,1,0.552743642,1,1,0.480484031,0.0,0.0
24,0.262,1,0.0,0.276520079,1,0.490512797,1,1,0.552743642,1,1,0.490512797,0.0,0.0
25,0.262,1,0.0,0.483794788,1,0.468256225,1,1,0.552743642,1,1,0.468256225,0.0,0.0
26,0.262,1,0.0,0.364206554,1,0.373172349,1,1,0.552743642,1,1,0.373172349,0.0,0.0
27,0.262,1,0.0,0.29132937,1,0.332288854,1,1,0.552743642,1,1,0.332288854,0.0,0.0
28,0.262,1,0.0,0.29368831,1,0.332520909,1,1,0.552743642,1,1,0.332520909,0.0,0.0
29,0.262,1,0.0,0.239643755,1,0.276244548,1,1,0.552743642,1,1,0.276244548,0.0,0.0
30,0.262,1,0.0,0.254096915,1,0.218590258,1,1,0.552743642,1,1,0.218590258,0.0,0.0
31,0.262,1,0.0,0.341883748,1,0.199551099,1,1,0.552743642,1,1,0.199551099,0.0,0.0
32,0.262,1,0.071185438,0.359782855,1,0.21526777,1,1,0.552743642,1,1,0.21526777,0.0416943279714285,0.0378808223642857
33,0.262,1,0.327341725,0.355125162,1,0.192624011,1,1,0.552743642,1,1,0.192624011,0.1917287246428571,0.1741925608035713
34,0.262,1,0.563627015,0.23593013,1,0.174724692,1,1,0.552743642,1,1,0.174724692,0.3301243945,0.2999300901249999
35,0.262,1,0.789609751,0.220357455,1,0.216389053,1,1,0.552743642,1,1,0.216389053,0.4624857112999999,0.4201851889249999
36,0.262,1,0.8256,0.213608377,1,0.229128412,1,1,0.552743642,1,1,0.229128412,0.4835657142857142,0.4393371428571427
37,0.262,1,0.8256,0.207865139,1,0.225726749,1,1,0.552743642,1,1,0.225726749,0.4835657142857142,0.4393371428571427
38,0.262,1,0.8256,0.174873533,1,0.303968424,1,1,0.552743642,1,1,0.303968424,0.4835657142857142,0.4393371428571427
39,0.262,1,0.622838308,0.202292602,1,0.232599824,1,1,0.552743642,1,1,0.232599824,0.3648052946857142,0.3314389567571427
40,0.262,1,0.318281566,0.190526925,1,0.191132048,1,1,0.552743642,1,1,0.191132048,0.1864220600857142,0.1693712619071428
41,0.262,1,0.0,0.178085007,1,0.275688797,1,1,0.552743642,1,1,0.275688797,0.0,0.0
42,0.262,1,0.0,0.195431813,1,0.261417094,1,1,0.552743642,1,1,0.261417094,0.0,0.0
43,0.262,1,0.0,0.291728601,1,0.298816178,1,1,0.552743642,1,1,0.298816178,0.0,0.0
44,0.262,1,0.0,0.33050354,1,0.400059561,1,1,0.552743642,1,1,0.400059561,0.0,0.0
45,0.262,1,0.0,0.248596604,1,0.586185467,1,1,0.552743642,1,1,0.586185467,0.0,0.0
46,0.262,1,0.0,0.355076413,1,0.602685559,1,1,0.552743642,1,1,0.602685559,0.0,0.0
47,0.262,1,0.0,0.364509596,1,0.593257901,1,1,0.552743642,1,1,0.593257901,0.0,0.0
48,0.262,1,0.0,0.32330345,1,0.705264628,1,1,0.552743642,1,1,0.705264628,0.0,0.0
49,0.262,1,0.0,0.40515304,1,0.734913306,1,1,0.552743642,1,1,0.734913306,0.0,0.0
50,0.262,1,0.0,0.38805797,1,0.76797068,1,1,0.552743642,1,1,0.76797068,0.0,0.0
51,0.262,1,0.0,0.354330008,1,0.780740792,1,1,0.552743642,1,1,0.780740792,0.0,0.0
52,0.262,1,0.0,0.323203659,1,0.737332297,1,1,0.552743642,1,1,0.737332297,0.0,0.0
53,0.262,1,0.0,0.225696588,1,0.653347177,1,1,0.552743642,1,1,0.653347177,0.0,0.0
54,0.262,1,0.0,0.230833736,1,0.604221369,1,1,0.552743642,1,1,0.604221369,0.0,0.0
55,0.262,1,0.0,0.267934648,1,0.505410193,1,1,0.552743642,1,1,0.505410193,0.0,0.0
56,0.262,1,0.013925289,0.315149606,1,0.418055053,1,1,0.552743642,1,1,0.418055053,0.0081562407,0.0074102430749999
57,0.262,1,0.306066343,0.310925835,1,0.334049281,1,1,0.552743642,1,1,0.334049281,0.1792674294714285,0.1628710182392856
